id,title,sourceUrl,suggestedFile,targetPath
"skillet-chicken-with-mushrooms-and-caramelized-onions","Skillet Chicken With Mushrooms and Caramelized Onions","https://cooking.nytimes.com/recipes/1020639-skillet-chicken-with-mushrooms-and-caramelized-onions","skillet-chicken-with-mushrooms-and-caramelized-onions.jpg","/recipe-images/skillet-chicken-with-mushrooms-and-caramelized-onions.jpg"
"roasted-salmon-with-miso-rice-and-ginger-scallion-vinaigrette","Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette","https://cooking.nytimes.com/recipes/1023593-roasted-salmon-with-miso-rice-and-ginger-scallion-vinaigrette","roasted-salmon-with-miso-rice-and-ginger-scallion-vinaigrette.jpg","/recipe-images/roasted-salmon-with-miso-rice-and-ginger-scallion-vinaigrette.jpg"
"cheesy-white-bean-tomato-bake","Cheesy White Bean-Tomato Bake","https://cooking.nytimes.com/recipes/1019681-cheesy-white-bean-tomato-bake","cheesy-white-bean-tomato-bake.jpg","/recipe-images/cheesy-white-bean-tomato-bake.jpg"
"coconut-fish-and-tomato-bake","Coconut Fish and Tomato Bake","https://cooking.nytimes.com/recipes/1021887-coconut-fish-and-tomato-bake","coconut-fish-and-tomato-bake.jpg","/recipe-images/coconut-fish-and-tomato-bake.jpg"
"one-pan-orzo-with-spinach-and-feta","One-Pan Orzo With Spinach and Feta","https://cooking.nytimes.com/recipes/1021003-one-pan-orzo-with-spinach-and-feta","one-pan-orzo-with-spinach-and-feta.jpg","/recipe-images/one-pan-orzo-with-spinach-and-feta.jpg"
"saucy-braised-chicken-with-lemon-and-olives","Saucy Braised Chicken With Lemon and Olives","https://cooking.nytimes.com/recipes/1019404-saucy-braised-chicken-with-lemon-and-olives","saucy-braised-chicken-with-lemon-and-olives.jpg","/recipe-images/saucy-braised-chicken-with-lemon-and-olives.jpg"
"rice-cooker-spanish-chickpeas-and-rice","Rice Cooker Spanish Chickpeas and Rice","https://cooking.nytimes.com/recipes/1024704-rice-cooker-spanish-chickpeas-and-rice","rice-cooker-spanish-chickpeas-and-rice.jpg","/recipe-images/rice-cooker-spanish-chickpeas-and-rice.jpg"
"tofu-with-coconut-sauce","Tofu With Coconut Sauce","https://cooking.nytimes.com/recipes/1020048-tofu-with-coconut-sauce","tofu-with-coconut-sauce.jpg","/recipe-images/tofu-with-coconut-sauce.jpg"
"gingery-shrimp-and-noodles","Gingery Shrimp and Noodles","https://cooking.nytimes.com/recipes/1021113-gingery-shrimp-and-noodles","gingery-shrimp-and-noodles.jpg","/recipe-images/gingery-shrimp-and-noodles.jpg"
"spiced-chickpea-stew-with-coconut-and-turmeric","Spiced Chickpea Stew With Coconut and Turmeric","https://cooking.nytimes.com/recipes/1019772-spiced-chickpea-stew-with-coconut-and-turmeric","spiced-chickpea-stew-with-coconut-and-turmeric.jpg","/recipe-images/spiced-chickpea-stew-with-coconut-and-turmeric.jpg"
"roasted-gochujang-chicken","Roasted Gochujang Chicken","https://cooking.nytimes.com/recipes/1020035-roasted-gochujang-chicken","roasted-gochujang-chicken.jpg","/recipe-images/roasted-gochujang-chicken.jpg"
"creamy-one-pot-pasta-with-ricotta-and-lemon","Creamy One-Pot Pasta With Ricotta and Lemon","https://cooking.nytimes.com/recipes/1020736-creamy-one-pot-pasta-with-ricotta-and-lemon","creamy-one-pot-pasta-with-ricotta-and-lemon.jpg","/recipe-images/creamy-one-pot-pasta-with-ricotta-and-lemon.jpg"
"one-pan-tofu-with-broccoli-and-sesame","One-Pan Tofu With Broccoli and Sesame","https://cooking.nytimes.com/recipes/1022637-one-pan-tofu-with-broccoli-and-sesame","one-pan-tofu-with-broccoli-and-sesame.jpg","/recipe-images/one-pan-tofu-with-broccoli-and-sesame.jpg"
"caramelized-sheet-pan-fish-tacos","Caramelized Sheet-Pan Fish Tacos","https://cooking.nytimes.com/recipes/1021880-caramelized-sheet-pan-fish-tacos","caramelized-sheet-pan-fish-tacos.jpg","/recipe-images/caramelized-sheet-pan-fish-tacos.jpg"
"braised-chicken-with-tomatoes-and-olives","Braised Chicken With Tomatoes and Olives","https://cooking.nytimes.com/recipes/1025653-braised-chicken-with-tomatoes-and-olives","braised-chicken-with-tomatoes-and-olives.jpg","/recipe-images/braised-chicken-with-tomatoes-and-olives.jpg"
"crispy-rice-bowl-with-spring-vegetables-and-fried-eggs","Crispy Rice Bowl With Spring Vegetables and Fried Eggs","https://cooking.nytimes.com/recipes/1025427-crispy-rice-bowl-with-spring-vegetables-and-fried-eggs","crispy-rice-bowl-with-spring-vegetables-and-fried-eggs.jpg","/recipe-images/crispy-rice-bowl-with-spring-vegetables-and-fried-eggs.jpg"
"saucy-skillet-mushroom-chicken","Saucy Skillet Mushroom Chicken","https://cooking.nytimes.com/recipes/1025654-saucy-skillet-mushroom-chicken","saucy-skillet-mushroom-chicken.jpg","/recipe-images/saucy-skillet-mushroom-chicken.jpg"
"sheet-pan-sausages-with-caramelized-shallots-and-apples","Sheet-Pan Sausages With Caramelized Shallots and Apples","https://cooking.nytimes.com/recipes/1023624-sheet-pan-sausages-with-caramelized-shallots-and-apples","sheet-pan-sausages-with-caramelized-shallots-and-apples.jpg","/recipe-images/sheet-pan-sausages-with-caramelized-shallots-and-apples.jpg"
"caramelized-zucchini-pasta","Caramelized Zucchini Pasta","https://cooking.nytimes.com/recipes/1022458-caramelized-zucchini-pasta","caramelized-zucchini-pasta.jpg","/recipe-images/caramelized-zucchini-pasta.jpg"
"salsa-verde-pepper-and-onion-frittata","Salsa Verde Pepper and Onion Frittata","https://cooking.nytimes.com/recipes/1025205-salsa-verde-pepper-and-onion-frittata","salsa-verde-pepper-and-onion-frittata.jpg","/recipe-images/salsa-verde-pepper-and-onion-frittata.jpg"
"chicken-meatballs-with-ginger-and-cabbage","Chicken Meatballs With Ginger and Cabbage","https://cooking.nytimes.com/recipes/1020707-chicken-meatballs-with-ginger-and-cabbage","chicken-meatballs-with-ginger-and-cabbage.jpg","/recipe-images/chicken-meatballs-with-ginger-and-cabbage.jpg"
"one-pot-spiced-shrimp-and-rice","One-Pot Spiced Shrimp and Rice","https://cooking.nytimes.com/recipes/1025896-one-pot-spiced-shrimp-and-rice","one-pot-spiced-shrimp-and-rice.jpg","/recipe-images/one-pot-spiced-shrimp-and-rice.jpg"
"baked-fish-and-chips","Baked Fish and Chips","https://cooking.nytimes.com/recipes/1021732-baked-fish-and-chips","baked-fish-and-chips.jpg","/recipe-images/baked-fish-and-chips.jpg"
"spinach-artichoke-pasta","Spinach Artichoke Pasta","https://cooking.nytimes.com/recipes/1022647-spinach-artichoke-pasta","spinach-artichoke-pasta.jpg","/recipe-images/spinach-artichoke-pasta.jpg"
"sheet-pan-chicken-with-jammy-tomatoes-and-pancetta","Sheet-Pan Chicken With Jammy Tomatoes and Pancetta","https://cooking.nytimes.com/recipes/1023380-sheet-pan-chicken-with-jammy-tomatoes-and-pancetta","sheet-pan-chicken-with-jammy-tomatoes-and-pancetta.jpg","/recipe-images/sheet-pan-chicken-with-jammy-tomatoes-and-pancetta.jpg"
"sticky-coconut-chicken-and-rice","Sticky Coconut Chicken and Rice","https://cooking.nytimes.com/recipes/1025790-sticky-coconut-chicken-and-rice","sticky-coconut-chicken-and-rice.jpg","/recipe-images/sticky-coconut-chicken-and-rice.jpg"
"peanut-braised-chicken","Peanut-Braised Chicken","https://cooking.nytimes.com/recipes/1027148-peanut-braised-chicken","peanut-braised-chicken.jpg","/recipe-images/peanut-braised-chicken.jpg"
"one-pot-salmon-and-shiitake-rice","One-Pot Salmon and Shiitake Rice","https://cooking.nytimes.com/recipes/1025097-one-pot-salmon-and-shiitake-rice","one-pot-salmon-and-shiitake-rice.jpg","/recipe-images/one-pot-salmon-and-shiitake-rice.jpg"
"baked-spinach-artichoke-chicken","Baked Spinach Artichoke Chicken","https://cooking.nytimes.com/recipes/1025650-baked-spinach-artichoke-chicken","baked-spinach-artichoke-chicken.jpg","/recipe-images/baked-spinach-artichoke-chicken.jpg"
"kimchi-udon-with-scallions","Kimchi Udon With Scallions","https://cooking.nytimes.com/recipes/1025342-kimchi-udon-with-scallions","kimchi-udon-with-scallions.jpg","/recipe-images/kimchi-udon-with-scallions.jpg"
"one-pot-turmeric-coconut-rice-with-chickpeas","One-Pot Turmeric Coconut Rice With Chickpeas","https://cooking.nytimes.com/recipes/1023043-one-pot-turmeric-coconut-rice-with-chickpeas","one-pot-turmeric-coconut-rice-with-chickpeas.jpg","/recipe-images/one-pot-turmeric-coconut-rice-with-chickpeas.jpg"
"spicy-lime-salmon-with-wakame-kale-and-avocado","Spicy Lime Salmon With Wakame, Kale and Avocado","https://cooking.nytimes.com/recipes/1027181-spicy-lime-salmon-with-wakame-kale-and-avocado","spicy-lime-salmon-with-wakame-kale-and-avocado.jpg","/recipe-images/spicy-lime-salmon-with-wakame-kale-and-avocado.jpg"
"baked-farro-with-lentils-tomato-and-feta","Baked Farro With Lentils, Tomato and Feta","https://cooking.nytimes.com/recipes/1020385-baked-farro-with-lentils-tomato-and-feta","baked-farro-with-lentils-tomato-and-feta.jpg","/recipe-images/baked-farro-with-lentils-tomato-and-feta.jpg"
"roasted-sausages-with-grapes-and-onions","Roasted Sausages With Grapes and Onions","https://cooking.nytimes.com/recipes/1020664-roasted-sausages-with-grapes-and-onions","roasted-sausages-with-grapes-and-onions.jpg","/recipe-images/roasted-sausages-with-grapes-and-onions.jpg"
"sheet-pan-salmon-and-broccoli-with-sesame-and-ginger","Sheet-Pan Salmon and Broccoli With Sesame and Ginger","https://cooking.nytimes.com/recipes/1021821-sheet-pan-salmon-and-broccoli-with-sesame-and-ginger","sheet-pan-salmon-and-broccoli-with-sesame-and-ginger.jpg","/recipe-images/sheet-pan-salmon-and-broccoli-with-sesame-and-ginger.jpg"
"chicken-and-coconut-rice-noodle-soup","Chicken and Coconut Rice Noodle Soup","https://cooking.nytimes.com/recipes/1023176-chicken-and-coconut-rice-noodle-soup","chicken-and-coconut-rice-noodle-soup.jpg","/recipe-images/chicken-and-coconut-rice-noodle-soup.jpg"
"crispy-tofu-with-cashews-and-blistered-snap-peas","Crispy Tofu With Cashews and Blistered Snap Peas","https://cooking.nytimes.com/recipes/1023146-crispy-tofu-with-cashews-and-blistered-snap-peas","crispy-tofu-with-cashews-and-blistered-snap-peas.jpg","/recipe-images/crispy-tofu-with-cashews-and-blistered-snap-peas.jpg"
"cheesy-baked-pasta-with-sausage-and-ricotta","Cheesy Baked Pasta With Sausage and Ricotta","https://cooking.nytimes.com/recipes/1022705-cheesy-baked-pasta-with-sausage-and-ricotta","cheesy-baked-pasta-with-sausage-and-ricotta.jpg","/recipe-images/cheesy-baked-pasta-with-sausage-and-ricotta.jpg"
"sheet-pan-chicken-with-artichokes-and-herbs","Sheet-Pan Chicken With Artichokes and Herbs","https://cooking.nytimes.com/recipes/1020928-sheet-pan-chicken-with-artichokes-and-herbs","sheet-pan-chicken-with-artichokes-and-herbs.jpg","/recipe-images/sheet-pan-chicken-with-artichokes-and-herbs.jpg"
"crispy-beans-and-greens-with-fried-eggs","Crispy Beans and Greens With Fried Eggs","https://cooking.nytimes.com/recipes/1027029-crispy-beans-and-greens-with-fried-eggs","crispy-beans-and-greens-with-fried-eggs.jpg","/recipe-images/crispy-beans-and-greens-with-fried-eggs.jpg"
"gochujang-salmon-with-sesame-bok-choy","Gochujang Salmon With Sesame Bok Choy","https://cooking.nytimes.com/recipes/1023678-gochujang-salmon-with-sesame-bok-choy","gochujang-salmon-with-sesame-bok-choy.jpg","/recipe-images/gochujang-salmon-with-sesame-bok-choy.jpg"
"skillet-meatballs-with-peaches-basil-and-lime","Skillet Meatballs With Peaches, Basil and Lime","https://cooking.nytimes.com/recipes/1025772-skillet-meatballs-with-peaches-basil-and-lime","skillet-meatballs-with-peaches-basil-and-lime.jpg","/recipe-images/skillet-meatballs-with-peaches-basil-and-lime.jpg"
"chicken-thighs-with-coconut-creamed-corn","Chicken Thighs With Coconut-Creamed Corn","https://cooking.nytimes.com/recipes/1023326-chicken-thighs-with-coconut-creamed-corn","chicken-thighs-with-coconut-creamed-corn.jpg","/recipe-images/chicken-thighs-with-coconut-creamed-corn.jpg"
"crispy-fish-with-brown-butter-sauce-and-kale","Crispy Fish With Brown Butter Sauce and Kale","https://cooking.nytimes.com/recipes/1023344-crispy-fish-with-brown-butter-sauce-and-kale","crispy-fish-with-brown-butter-sauce-and-kale.jpg","/recipe-images/crispy-fish-with-brown-butter-sauce-and-kale.jpg"
"sambal-salmon-bowls","Sambal Salmon Bowls","https://cooking.nytimes.com/recipes/1026196-sambal-salmon-bowls","sambal-salmon-bowls.jpg","/recipe-images/sambal-salmon-bowls.jpg"
"sheet-pan-chicken-with-cauliflower-and-arugula","Sheet-Pan Chicken With Cauliflower and Arugula","https://cooking.nytimes.com/recipes/1021671-sheet-pan-chicken-with-cauliflower-and-arugula","sheet-pan-chicken-with-cauliflower-and-arugula.jpg","/recipe-images/sheet-pan-chicken-with-cauliflower-and-arugula.jpg"
"coconut-curry-salmon-with-green-beans","Coconut Curry Salmon With Green Beans","https://cooking.nytimes.com/recipes/1025174-coconut-curry-salmon-with-green-beans","coconut-curry-salmon-with-green-beans.jpg","/recipe-images/coconut-curry-salmon-with-green-beans.jpg"
"cheesy-skillet-broccoli-orzo","Cheesy Skillet Broccoli Orzo","https://cooking.nytimes.com/recipes/1026999-cheesy-skillet-broccoli-orzo","cheesy-skillet-broccoli-orzo.jpg","/recipe-images/cheesy-skillet-broccoli-orzo.jpg"
"roasted-fish-with-ginger-scallions-and-soy","Roasted Fish With Ginger, Scallions and Soy","https://cooking.nytimes.com/recipes/1020020-roasted-fish-with-ginger-scallions-and-soy","roasted-fish-with-ginger-scallions-and-soy.jpg","/recipe-images/roasted-fish-with-ginger-scallions-and-soy.jpg"
"one-pot-ginger-salmon-and-rice","One-Pot Ginger Salmon and Rice","https://cooking.nytimes.com/recipes/1024085-one-pot-ginger-salmon-and-rice","one-pot-ginger-salmon-and-rice.jpg","/recipe-images/one-pot-ginger-salmon-and-rice.jpg"
"caramelized-shallot-pasta","Caramelized Shallot Pasta","https://cooking.nytimes.com/recipes/1020830-caramelized-shallot-pasta","caramelized-shallot-pasta.jpg","/recipe-images/caramelized-shallot-pasta.jpg"
"pasta-e-ceci-italian-pasta-and-chickpea-stew","Pasta e Ceci (Italian Pasta and Chickpea Stew)","https://cooking.nytimes.com/recipes/1020860-pasta-e-ceci-italian-pasta-and-chickpea-stew","pasta-e-ceci-italian-pasta-and-chickpea-stew.jpg","/recipe-images/pasta-e-ceci-italian-pasta-and-chickpea-stew.jpg"
"cantonese-style-steamed-fish","Cantonese-Style Steamed Fish","https://cooking.nytimes.com/recipes/1024660-cantonese-style-steamed-fish","cantonese-style-steamed-fish.jpg","/recipe-images/cantonese-style-steamed-fish.jpg"
"roasted-gochujang-salmon","Roasted Gochujang Salmon","https://cooking.nytimes.com/recipes/1024116-roasted-gochujang-salmon","roasted-gochujang-salmon.jpg","/recipe-images/roasted-gochujang-salmon.jpg"
"miso-roasted-salmon","Miso Roasted Salmon","https://cooking.nytimes.com/recipes/1025204-miso-roasted-salmon","miso-roasted-salmon.jpg","/recipe-images/miso-roasted-salmon.jpg"
"sheet-pan-lemon-turmeric-chicken","Sheet-Pan Lemon Turmeric Chicken","https://cooking.nytimes.com/recipes/762284605-sheet-pan-lemon-turmeric-chicken","sheet-pan-lemon-turmeric-chicken.jpg","/recipe-images/sheet-pan-lemon-turmeric-chicken.jpg"
"chicken-and-chickpea-tagine","Chicken and Chickpea Tagine","https://cooking.nytimes.com/recipes/7794-chicken-and-chickpea-tagine","chicken-and-chickpea-tagine.jpg","/recipe-images/chicken-and-chickpea-tagine.jpg"
"lemon-garlic-roast-chicken-with-squash","Lemon Garlic Roast Chicken With Squash","https://cooking.nytimes.com/recipes/1027348-lemon-garlic-roast-chicken-with-squash","lemon-garlic-roast-chicken-with-squash.jpg","/recipe-images/lemon-garlic-roast-chicken-with-squash.jpg"
"sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt","Sheet-Pan Chicken With Potatoes, Arugula and Garlic Yogurt","https://cooking.nytimes.com/recipes/1017359-sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt","sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt.jpg","/recipe-images/sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt.jpg"
"sheet-pan-malai-chicken-and-potatoes","Sheet-Pan Malai Chicken and Potatoes","https://cooking.nytimes.com/recipes/1026512-sheet-pan-malai-chicken-and-potatoes","sheet-pan-malai-chicken-and-potatoes.jpg","/recipe-images/sheet-pan-malai-chicken-and-potatoes.jpg"
"sheet-pan-chicken-with-black-beans-and-squash","Sheet-Pan Chicken With Black Beans and Squash","https://cooking.nytimes.com/recipes/771531010-sheet-pan-chicken-with-black-beans-and-squash","sheet-pan-chicken-with-black-beans-and-squash.jpg","/recipe-images/sheet-pan-chicken-with-black-beans-and-squash.jpg"
"paprika-chicken-and-potatoes","Paprika Chicken and Potatoes","https://cooking.nytimes.com/recipes/1025628-paprika-chicken-and-potatoes","paprika-chicken-and-potatoes.jpg","/recipe-images/paprika-chicken-and-potatoes.jpg"
"crispy-chicken-with-lime-butter","Crispy Chicken With Lime Butter","https://cooking.nytimes.com/recipes/1026790-crispy-chicken-with-lime-butter","crispy-chicken-with-lime-butter.jpg","/recipe-images/crispy-chicken-with-lime-butter.jpg"
"ina-gartens-perfect-roast-chicken","Ina Garten's Perfect Roast Chicken","https://cooking.nytimes.com/recipes/1026751-ina-gartens-perfect-roast-chicken","ina-gartens-perfect-roast-chicken.jpg","/recipe-images/ina-gartens-perfect-roast-chicken.jpg"
"sheet-pan-chicken-with-potatoes-scallions-and-capers","Sheet-Pan Chicken With Potatoes, Scallions and Capers","https://cooking.nytimes.com/recipes/1020456-sheet-pan-chicken-with-potatoes-scallions-and-capers","sheet-pan-chicken-with-potatoes-scallions-and-capers.jpg","/recipe-images/sheet-pan-chicken-with-potatoes-scallions-and-capers.jpg"
"sheet-pan-chicken-with-squash-and-dates","Sheet-Pan Chicken With Squash and Dates","https://cooking.nytimes.com/recipes/1021781-sheet-pan-chicken-with-squash-and-dates","sheet-pan-chicken-with-squash-and-dates.jpg","/recipe-images/sheet-pan-chicken-with-squash-and-dates.jpg"
"skillet-chicken-with-white-beans-and-caramelized-lemon","Skillet Chicken With White Beans and Caramelized Lemon","https://cooking.nytimes.com/recipes/1019382-skillet-chicken-with-white-beans-and-caramelized-lemon","skillet-chicken-with-white-beans-and-caramelized-lemon.jpg","/recipe-images/skillet-chicken-with-white-beans-and-caramelized-lemon.jpg"
"rotisserie-chicken-and-greens-pasta","Rotisserie Chicken and Greens Pasta","https://cooking.nytimes.com/recipes/1023870-rotisserie-chicken-and-greens-pasta","rotisserie-chicken-and-greens-pasta.jpg","/recipe-images/rotisserie-chicken-and-greens-pasta.jpg"
"roasted-free-range-chicken-with-swiss-chard-and-marrow-gratin","Roasted Free-Range Chicken With Swiss Chard And Marrow Gratin","https://cooking.nytimes.com/recipes/9105-roasted-free-range-chicken-with-swiss-chard-and-marrow-gratin","roasted-free-range-chicken-with-swiss-chard-and-marrow-gratin.jpg","/recipe-images/roasted-free-range-chicken-with-swiss-chard-and-marrow-gratin.jpg"
"grilled-roast-chicken-with-spinach-ricotta-crostini","Grilled Roast Chicken With Spinach-Ricotta Crostini","https://cooking.nytimes.com/recipes/1018118-grilled-roast-chicken-with-spinach-ricotta-crostini","grilled-roast-chicken-with-spinach-ricotta-crostini.jpg","/recipe-images/grilled-roast-chicken-with-spinach-ricotta-crostini.jpg"
"roasted-chicken-provencal","Roasted Chicken Provençal","https://cooking.nytimes.com/recipes/1017327-roasted-chicken-provencal","roasted-chicken-provencal.jpg","/recipe-images/roasted-chicken-provencal.jpg"
"chickpea-salad-sandwich","Chickpea Salad Sandwich","https://cooking.nytimes.com/recipes/1023207-chickpea-salad-sandwich","chickpea-salad-sandwich.jpg","/recipe-images/chickpea-salad-sandwich.jpg"
"veggie-egg-bites","Veggie Egg Bites","https://cooking.nytimes.com/recipes/1020223-tofu-and-herb-salad","veggie-egg-bites.jpg","/recipe-images/veggie-egg-bites.jpg"
"cucumber-avocado-sandwich","Cucumber Avocado Sandwich","https://cooking.nytimes.com/recipes/1021118-cucumber-avocado-sandwich","cucumber-avocado-sandwich.jpg","/recipe-images/cucumber-avocado-sandwich.jpg"
"white-bean-and-tuna-salad","White Bean and Tuna Salad","https://cooking.nytimes.com/recipes/1020166-white-bean-and-tuna-salad","white-bean-and-tuna-salad.jpg","/recipe-images/white-bean-and-tuna-salad.jpg"
"craig-claibornes-chicken-salad-sandwich","Craig Claiborne's Chicken Salad Sandwich","https://cooking.nytimes.com/recipes/1017336-craig-claibornes-chicken-salad-sandwich","craig-claibornes-chicken-salad-sandwich.jpg","/recipe-images/craig-claibornes-chicken-salad-sandwich.jpg"
"broccoli-melt","Broccoli Melt","https://cooking.nytimes.com/recipes/1023047-broccoli-melt","broccoli-melt.jpg","/recipe-images/broccoli-melt.jpg"
"peanut-butter-and-pickle-sandwich","Peanut Butter and Pickle Sandwich","https://cooking.nytimes.com/recipes/1020991-peanut-butter-and-pickle-sandwich","peanut-butter-and-pickle-sandwich.jpg","/recipe-images/peanut-butter-and-pickle-sandwich.jpg"
"egg-roll-bowl","Egg Roll Bowl","https://cooking.nytimes.com/recipes/1023861-egg-roll-bowl","egg-roll-bowl.jpg","/recipe-images/egg-roll-bowl.jpg"
"smashed-chickpea-salad","Smashed Chickpea Salad","https://cooking.nytimes.com/recipes/1023208-smashed-chickpea-salad","smashed-chickpea-salad.jpg","/recipe-images/smashed-chickpea-salad.jpg"
"green-goddess-white-bean-salad","Green Goddess White Bean Salad","https://cooking.nytimes.com/recipes/1024075-green-goddess-white-bean-salad","green-goddess-white-bean-salad.jpg","/recipe-images/green-goddess-white-bean-salad.jpg"
"anything-goes-donabe","Anything-Goes Donabe","https://cooking.nytimes.com/recipes/1024992-anything-goes-donabe","anything-goes-donabe.jpg","/recipe-images/anything-goes-donabe.jpg"
"beet-and-lentil-salad-with-cheddar","Beet and Lentil Salad With Cheddar","https://cooking.nytimes.com/recipes/1025787-beet-and-lentil-salad-with-cheddar","beet-and-lentil-salad-with-cheddar.jpg","/recipe-images/beet-and-lentil-salad-with-cheddar.jpg"
"crispy-rice-salad-with-half-boiled-eggs","Crispy Rice Salad With Half-Boiled Eggs","https://cooking.nytimes.com/recipes/1025493-crispy-rice-salad-with-half-boiled-eggs","crispy-rice-salad-with-half-boiled-eggs.jpg","/recipe-images/crispy-rice-salad-with-half-boiled-eggs.jpg"
"black-bean-and-sweet-potato-quesadillas","Black Bean and Sweet Potato Quesadillas","https://cooking.nytimes.com/recipes/1021708-black-bean-and-sweet-potato-quesadillas","black-bean-and-sweet-potato-quesadillas.jpg","/recipe-images/black-bean-and-sweet-potato-quesadillas.jpg"
"smashed-cucumber-and-egg-salad","Smashed Cucumber and Egg Salad","https://cooking.nytimes.com/recipes/1026840-smashed-cucumber-and-egg-salad","smashed-cucumber-and-egg-salad.jpg","/recipe-images/smashed-cucumber-and-egg-salad.jpg"
"kimchi-grilled-cheese","Kimchi Grilled Cheese","https://cooking.nytimes.com/recipes/1021675-kimchi-grilled-cheese","kimchi-grilled-cheese.jpg","/recipe-images/kimchi-grilled-cheese.jpg"
"chopped-salad-with-chickpeas-feta-and-avocado","Chopped Salad With Chickpeas, Feta and Avocado","https://cooking.nytimes.com/recipes/1022867-chopped-salad-with-chickpeas-feta-and-avocado","chopped-salad-with-chickpeas-feta-and-avocado.jpg","/recipe-images/chopped-salad-with-chickpeas-feta-and-avocado.jpg"
"turkey-zucchini-and-carrot-burgers","Turkey, Zucchini and Carrot Burgers","https://cooking.nytimes.com/recipes/1020443-turkey-zucchini-and-carrot-burgers","turkey-zucchini-and-carrot-burgers.jpg","/recipe-images/turkey-zucchini-and-carrot-burgers.jpg"
"tuna-mayo-rice-bowl","Tuna Mayo Rice Bowl","https://cooking.nytimes.com/recipes/1027166-tuna-mayo-rice-bowl","tuna-mayo-rice-bowl.jpg","/recipe-images/tuna-mayo-rice-bowl.jpg"
"pan-bagnat-salad","Pan Bagnat Salad","https://cooking.nytimes.com/recipes/1025538-pan-bagnat-salad","pan-bagnat-salad.jpg","/recipe-images/pan-bagnat-salad.jpg"
"smashed-edamame-toast","Smashed Edamame Toast","https://cooking.nytimes.com/recipes/1026967-smashed-edamame-toast","smashed-edamame-toast.jpg","/recipe-images/smashed-edamame-toast.jpg"
"halloumi-salad-with-peaches-and-tomatoes","Halloumi Salad With Peaches and Tomatoes","https://cooking.nytimes.com/recipes/1023387-halloumi-salad-with-peaches-and-tomatoes","halloumi-salad-with-peaches-and-tomatoes.jpg","/recipe-images/halloumi-salad-with-peaches-and-tomatoes.jpg"
